k,segment_length,mean_accuracy,mean_f1
5,1.0,0.8795976444325284,0.883695760343176
5,1.5,0.8783238353840919,0.8831700575714556
5,2.0,0.8763990317606097,0.8817013588850834
5,2.5,0.8871826363416828,0.8921609849019626
5,3.0,0.8814763875974594,0.8867897040746904
5,0.3,0.8814783841633659,0.8839103813480303
5,0.6,0.8871806270991673,0.8906316249769064
