cut_layers,learn_rate,epochs,segment_length,mean_accuracy,mean_f1
,0.0201,100,0.6,0.9099736770215546,0.9060216093962683
,0.0201,100,1.0,0.9138293373492831,0.9087041244525229
,0.0201,100,1.5,0.8852638731223565,0.8880711886233762
,0.0201,100,2.0,0.8839378237685149,0.8846834440181481
,0.0201,100,2.5,0.914464169247941,0.9142636051741787
,0.0201,100,3.0,0.9207872427678362,0.9204732101647084
